"Country","City","AccentCity","Region","Population","Latitude","Longitude"
"us","alabaster","Alabaster","AL",26738,33.2441667,-86.8163889
"us","albertville","Albertville","AL",18368,34.2675,-86.2088889
"us","alexander city","Alexander City","AL",14993,32.9438889,-85.9538889
"us","anniston","Anniston","AL",23423,33.6597222,-85.8316667
"us","athens","Athens","AL",20470,34.8027778,-86.9716667
"us","auburn","Auburn","AL",49833,32.6097222,-85.4808333
"us","bessemer","Bessemer","AL",28628,33.4016667,-86.9544444
"us","birmingham","Birmingham","AL",231621,33.5205556,-86.8025
"us","cullman","Cullman","AL",14796,34.1747222,-86.8436111
"us","daphne","Daphne","AL",18581,30.6033333,-87.9036111
"us","decatur","Decatur","AL",54621,34.6058333,-86.9833333
"us","dothan","Dothan","AL",61741,31.2230556,-85.3905556
"us","enterprise","Enterprise","AL",22572,31.315,-85.8552778
"us","eufaula","Eufaula","AL",13453,31.8911111,-85.1455556
"us","fairfield","Fairfield","AL",11641,33.4858333,-86.9119444
"us","fairhope","Fairhope","AL",15419,30.5227778,-87.9033333
"us","florence","Florence","AL",35733,34.7997222,-87.6772222
"us","fort payne","Fort Payne","AL",13586,34.4441667,-85.7197222
"us","gadsden","Gadsden","AL",36821,34.0141667,-86.0066667
"us","gardendale","Gardendale","AL",12370,33.66,-86.8127778
"us","hartselle","Hartselle","AL",13089,34.4433333,-86.9352778
"us","helena","Helena","AL",13119,33.2961111,-86.8436111
"us","homewood","Homewood","AL",23815,33.4716667,-86.8008333
"us","hoover","Hoover","AL",66752,33.4052778,-86.8113889
"us","hueytown","Hueytown","AL",15308,33.4511111,-86.9966667
"us","huntsville","Huntsville","AL",167528,34.7302778,-86.5861111
"us","irondale","Irondale","AL",9652,33.5380556,-86.7072222
"us","jacksonville","Jacksonville","AL",8603,33.8136111,-85.7613889
"us","jasper","Jasper","AL",13831,33.8311111,-87.2775
"us","leeds","Leeds","AL",11167,33.5480556,-86.5444444
"us","madison","Madison","AL",37652,34.6991667,-86.7483333
